ID;Item
109;Juice Milk
282;Sunflower Oil
228;Bread
254;Sunflower Oil
282;Feminine Napkins
274;Digestive
282;Beef Mortadella
274;Toilet/WC Cleaners
88;Bag
322;Chicken Breast
109;AA Alkalines
274;Plain Cream
109;Dishwashing Liquid
88;Tomato Paste In Tetra PC
88;Plain Cereals
282;Mozarella Shredded
228;Seeds Fruits
109;Green Peas
322;Dishwashing Liquid
282;Peanut Butter Creamy
109;White/Basmati Rice
322;Bread
410;Zod Bakery Croissants
228;Bread
274;Shampoos
109;Un
274;Dishwashing Liquid
322;Tooth Paste/Gel Standard
228;White Flour
228;Morrocan Green
282;Sandwich Biscuits
274;Sunflower Oil
109;No Added Sugar
410;Arabic Sweets
109;Other Coffee
80;Bag
37;Citrus Fruits
276;Cookies
279;Fruit Cocktail
138;Crm Cheese Spread In Jar
276;Chicken Nuggets
400;Black Olives Whole
279;Citrus Fruits
167;Tooth Paste/Gel Standard
56;Other Fresh Dates
135;Sliced Brown Bread
464;Real Potato Chips in Fam
160;Fresh Onions
322;Okra
19;Chedder Cheese Sprd Jar
47;Potato Chips in Canister
276;Chocolate Milk
276;Large
279;Pitted Green
322;Fresh Garlic
322;Whole Seeds
47;Citrus Fruits
322;Citrus Fruits
212;Plain Water
138;Citrus Fruits
135;Tooth Paste/Gel Standard
325;Bag
82;Top Loading
167;Zod Bakery Rusks
279;Mango
276;French Fries
316;Mazza/Sella Basmati
279;Sliced White Bread
19;Black Olives Whole
160;Citrus Fruits
279;Full Fat
276;Soups In Packets
239;Light Meat Tuna in Oil
316;Slice Cheese
316;Soups In Packets
316;Plain Water
167;Tooth Paste/Gel Standard
239;Labneh
19;Long Leaf Tea
135;Citrus Fruits
276;Light Meat Tuna in Oil
464;French Piastries
464;Fabric Softener
276;Chicken Popcorn
160;Fresh Brocolis
19;Sliced Brown Bread
135;Tooth Paste/Gel Standard
278;Citrus Fruits
316;Evaporated Milk
56;Sliced White Bread
80;Arabic Sweets
322;Citrus Fruits
